PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
236817	2043	15
178017	2055	15
261253	2043	15
261257	2043	15
261209	2043	15
261215	2043	15
204144	2043	15
261259	2043	15
234816	2043	15
101062	2082	15
234807	2043	15
245767	2043	15
245768	2043	15
245773	2043	15
234812	2043	15
247579	2043	15
226574	2043	15
234827	2043	15
234799	2043	15
244249	2043	15
244250	2043	15
244252	2043	15
244256	2043	15
244259	2043	15
247315	2043	15
246824	2043	15
246828	2043	15
247089	2043	15
249444	2043	15
249456	2043	15
249634	2043	15
249665	2043	15
251897	2043	15
249666	2043	15
249867	2043	15
252360	2043	15
249852	2043	15
242198	2043	15
242200	2043	15
242201	2043	15
246317	2043	15
250502	2043	15
243872	2043	15
243893	2043	15
234972	2043	15
234780	2043	15
252372	2043	15
234998	2043	15
234765	2043	15
226614	2043	15
234766	2043	15
248099	2043	15
248023	2043	15
248024	2043	15
248027	2043	15
246949	2043	15
249469	2043	15
249471	2043	15
249474	2043	15
249477	2043	15
249478	2043	15
253341	2043	15
253375	2043	15
253376	2043	15
253377	2043	15
250776	2043	15
250777	2043	15
250778	2043	15
250783	2043	15
250784	2043	15
250785	2043	15
252348	2043	15
247502	1965	15
247505	1965	15
252818	2043	15
253350	2043	15
253136	2043	15
252507	2043	15
232456	2043	15
242250	2043	15
253125	2043	15
253931	2043	15
246989	2043	15
246991	2043	15
253193	2043	15
253194	2043	15
242614	2043	15
253164	2043	15
252881	2043	15
255972	2043	15
183735	2083	15
252706	2043	15
242202	2043	15
242204	2043	15
254313	2043	15
247190	2043	15
247191	2043	15
234790	2043	15
252764	2043	15
234789	2043	15
252738	2043	15
252829	2043	15
252947	2043	15
252951	2043	15
245658	2043	15
255428	2043	15
253114	2043	15
253115	2043	15
251525	2043	15
237424	2055	15
237430	2055	15
238866	2043	15
236537	2043	15
236626	2043	15
236703	2043	15
238853	2043	15
237279	2043	15
237361	2043	15
237366	2043	15
237503	2043	15
237520	2043	15
247775	2043	15
247776	2043	15
247777	2043	15
237901	2043	15
237903	2043	15
237904	2043	15
237906	2043	15
236486	2043	15
237571	2043	15
237659	2043	15
237673	2043	15
237674	2043	15
237677	2043	15
237531	2043	15
237532	2043	15
237537	2043	15
237725	2043	15
245423	2043	15
245424	2043	15
239699	2048	15
237397	2043	15
237452	2043	15
237726	2043	15
237728	2043	15
237729	2043	15
